Art  Design,Montclair State University,NJ
,,
Hospitality,Thompson Rivers University,BC
,,
Biology,Winthrop University,SC
English,University of Massachusetts - Boston,MA
Fine Arts,College of Southern Maryland,MD
Humanities,University of Massachusetts,MA
Biological Sciences,Pennsylvania State University,PA
,,
,,
,,
,,
Music,Boston University,MA
Computer Science,Emory University,GA
Fine Arts,College of Southern Maryland,MD
English,University of South Carolina,SC
Economics,University of Texas at El Paso,TX
Marketing,University of Northern Iowa,IA
Mathematics,Northern Virginia Community College (all campuses),VA
Computer Science,John Jay College of Criminal Justice,NY
Communication,Argosy University,CA
Criminal Justice,Virginia Commonwealth University,VA
,,
Physics,University of Texas at Dallas,TX
Mathematics,Tulsa Community College,OK
Mathematics,Iowa State University,IA
,,
History,University of Alabama,AL
English,Buffalo State College,NY
Women's Studies,Western Kentucky University,KY
English,University of Louisville,KY
Spanish,University of North Carolina at Chapel Hill,NC
,,
Spanish,University of North Carolina at Chapel Hill,NC
Dramatic Arts,University of North Carolina at Chapel Hill,NC
,,
Anthropology,University of North Carolina at Chapel Hill,NC
,,
Law,Fordham University School of Law,NY
Chemistry,University of Colorado Colorado Springs,CO
Exercise  Sport Science,Texas Tech University,TX
Journalism,Dade Medical College- Miami,FL
Psychology,Santa Barbara City College,CA
,,
MathDevelopmental Math,Lone Star College (all),TX
Journalism,Miami Dade College (all),FL
History,Montclair State University,NJ
Health Science,American Career College,CA
Arts  Technology,University of Texas at Dallas,TX
Psychology,Wichita State University,KS
Speech Pathology  Audiology,Western Michigan University,MI
Folklore,Memorial University of Newfoundland,NL
,,
History,University of Alaska Anchorage,AK
,,
Engineering,Kennesaw State University,GA
Biology,Cornell University,NY
Geography,University of West Georgia,GA
,,
Finance,University of Oklahoma,OK
,,
Communication Studies,Emerson College,MA
Engineering,Michigan Technological University,MI
Chemistry,Nassau Community College,NY
,,
Chemistry,Bard College,NY
Women's Studies,Trent University,ON
Political Science,University of South Carolina,SC
Communication,University of Florida,FL
Psychology,Wilmington University,DE
Environmental Science  Mgmt.,University of Maryland University College,MD
Science,University of New Hampshire (all campuses),NH
Biology,Mesa Community College,AZ
Public Affairs,Arizona State University,AZ
,,
Mathematics,University of Portland,OR
Psychology,Immaculata University,PA
Business,Wilfrid Laurier University-Waterloo,ON
English,George Mason University,VA
,,
,,
English,Quincy College at Plymouth,MA
Biology,Bates College,ME
Information Systems,University of Arkansas,AR
,,
Communication,Texas Tech University,TX
,,
English,Texas Tech University,TX
English,Oklahoma State University,OK
,,
Mathematics,University of Wisconsin - Milwaukee,WI
Physics,Sewanee: The University of the South,TN
Philosophy,University of Texas at Tyler,TX
History,Simon Fraser University,BC
,,
Mathematics,Pima Community College,AZ
English,Rose State College,OK
Biology,University Of Illinois at Urbana-Champaign,IL
Mathematics,University of Alaska - Mat-Su,AK
,,
Anatomy  Physiology,Polk State College,FL
Writing,American River College,CA
English,Mississippi State University,MS
Criminology Law  Society,University of California Irvine,CA
,,
,,
Law,University of Richmond,VA
Human Services,Old Dominion University,VA
Communication,University of North Carolina Wilmington,NC
Psychology,University of Miami,FL
Mathematics,Delaware Technical Community College,DE
Communication Disorders,Biola University,CA
Art,University of Wisconsin - Oshkosh,WI
Biology,University of Charleston,WV
Social Science,Linn-Benton Community College,OR
Physiology,Idaho State University,ID
Chemistry,Cleveland State University,OH
English,Louisiana State University,LA
,,
Biology,University of Louisville,KY
Mathematics,Pasco-Hernando State College (all campuses),FL
Health Science,Oakland Community College - Highland Lakes,MI
Languages,University of Toronto at Mississauga,ON
Computer Science,Molloy College,NY
,,
Information Science,Florida State University,FL
English,Washington State University,WA
Chemistry,California State University Fresno,CA
Nursing,Worcester State University,MA
Psychology,Community College of Rhode Island,RI
Literature,Georgia College,GA
Communication,University of Guelph-Humber,ON
Health Science,Eastern Michigan University,MI
Humanities,University of Guelph-Humber,ON
Biology,University of Idaho,ID
Mathematics,University of Georgia,GA
Communication,American University,DC
,,
Communication,National University,CA
,,
Physics,University of Nevada Las Vegas,NV
Psychology,University of Mississippi,MS
Political Science,Northeastern University,MA
Biology,Madonna University,MI
Geology,Louisiana State University,LA
Physics,Texas Lutheran University,TX
,,
International Studies,Virginia Commonwealth University,VA
,,
Physics,Saint Louis University,MO
Computer Science,Rowan University,NJ
Engineering,University of Wisconsin - River Falls,WI
Business,"HACC, Central Pennsylvania's Community College",PA
Mathematics,DePaul University,IL
Mathematics,Delgado Community College (ALL),LA
,,
Mathematics,University of Memphis,TN
,,
Engineering,University of Nebraska Omaha,NE
Philosophy,Cedar Valley College,TX
International Business,Pepperdine University's Graziadio School of Business,CA
Sociology,University of Saskatchewan,SK
Engineering,University of Wisconsin - Platteville,WI
Languages,University of Tennessee - Knoxville,TN
Academic Skills Development,San Bernardino Valley College,CA
Psychology,Anderson University,SC
,,
Languages,Tidewater Community College,VA
,,
,,
Government,Cornell University,NY
,,
Sociology,The King's University,AB
,,
English,New York City College of Technology,NY
Business,University of Hawaii West Oahu,HI
Biology,Providence College,RI
Mathematics,Augusta Technical College,GA
Media,University of Guelph-Humber,ON
Science,Jefferson College,MO
Finance,Borough of Manhattan Community College,NY
,,
University Studies,Missouri Southern State University,MO
Art History,Nashville State Community College,TN
English,Missouri Southern State University,MO
Science,Broward College (all campuses),FL
Women's Studies,West Virginia State University,WV
English,Temple University,PA
History,Georgia Highlands College,GA
German,Oregon State University,OR
,,
Education,Tennessee State University,TN
Communication,Community College of Denver,CO
Construction Management,"California State University, Sacramento",CA
Linguistics,University at Buffalo (SUNY Buffalo),NY
English,Polk State College,FL
,,
,,
Mathematics,Cabrillo College,CA
,,
,,
,,
,,
,,
Theatre  Dance,California State University Fullerton,CA
Science,Rockhurst University,MO
,,
Anthropology,Buffalo State College,NY
,,
English,Arizona State University,AZ
,,
,,
,,
,,
English,University of Georgia,GA
,,
Sociology,Confederation College,ON
Physics,Michigan State University,MI
English,Hudson County Community College,NJ
Biology,University of Portland,OR
Hospitality,Florida International University,FL
English,Southwestern Illinois College,IL
Business,Chicago-Kent College of Law,IL
,,
Religion,Brigham Young University-Idaho,ID
Art History,Maryland Institute  College of Art,MD
Community Health Sciences,University of Nevada- Reno,NV
Architecture,Temple University,PA
Art History,Bloomsburg University,PA
,,
Languages,Salve Regina University,RI
Industrial Studies,University of Wisconsin - Platteville,WI
English,Vanguard University of Southern California,CA
Foreign Languages,Bakersfield College,CA
Chemistry,University of Nebraska-Lincoln,NE
,,
Animal Science,Kansas State University,KS
Political Science,SUNY Oswego,NY
Management,University of Arkansas,AR
Creative Writing,University of British Columbia,BC
Psychology,Brock University,ON
,,
Creative Writing,University of British Columbia,BC
Psychology,Salt Lake Community College,UT
Computer Science,South Texas College (all campuses),TX
,,
Hospitality,Northern Arizona University,AZ
Writing,Hostos Community College,NY
Political Science,University of Memphis,TN
Computer Science,College of Lake County,IL
,,
Psychology,Stevenson University,MD
World Languages  Literatures,University of Arkansas,AR
Biology,Wayland Baptist University- Virtual Campus,TX
Languages,Wilfrid Laurier University-Brantford,ON
,,
Women's Studies,McGill University,QC
Allied Health,Youngstown State University,OH
Economics,Ivy Tech Community College: Bloomington,IN
Management,The University of Western Ontario,ON
Art History,South Central College,MN
History,Duquesne University,PA
Business,Dutchess Community College,NY
Business,Camosun College,BC
Classics,University of Kentucky,KY
Communication,University of Alabama,AL
,,
Management,Louisiana State University of Alexandria,LA
Business Analysis,James Madison University,VA
,,
,,
,,
Education,Niagara University,NY
English,University of Central Florida,FL
English,George Mason University,VA
Management,Purdue University - West Lafayette,IN
,,
Theater,University of California Los Angeles Extension,CA
Mathematics,University of Delaware,DE
,,
Graphic Arts,University of Tampa,FL
,,
Science,University of Wisconsin- Parkside,WI
Psychology,University of West Georgia,GA
Management,Montgomery County Community College (all),PA
English,Xavier University of Louisiana,LA
Culinary Arts,Suffolk County Community College,NY
Political Science,Lakehead University,ON
Hospitality,St. Petersburg College (all campuses),FL
Hospitality,St. Petersburg College (all campuses),FL
,,
,,
Biology,Missouri Southern State University,MO
Health,Salt Lake Community College,UT
Music,Cerritos College,CA
Health Science,Heartland Community College,IL
Communications,Towson University,MD
Anthropology,Illinois State University,IL
Biology,Andrews University,MI
Education,Temple University,PA
Philosophy,Suffolk County Community College,NY
Art  Design,Montclair State University,NJ
,,
Biology,Lone Star College (all),TX
Marketing,University of Northern Iowa,IA
Education,California State University San Bernardino,CA
American Studies,University of Minnesota-Twin Cities,MN
Hospitality  Tourism,Orange Coast College,CA
Engineering,University of Wisconsin - Stout,WI
Biology,Mississippi State University,MS
Political Science,Florida International University,FL
Art  Design,Montclair State University,NJ
Educational Development,University of Minnesota-Twin Cities,MN
Art History,Case Western Reserve University,OH
Criminal Justice,Wilfrid Laurier University-Brantford,ON
Computer Science,Utah Valley University,UT
English,Hunter College,NY
Social Work,Naugatuck Valley Community College,CT
Philosophy,St. Petersburg College (all campuses),FL
Mathematics,Northern Arizona University,AZ
Computer Information Systems,Baruch College,NY
Geology,McLennan Community College,TX
Anthropology,Cabrillo College,CA
Humanities,Truckee Meadows Community College,NV
English,Bunker Hill Community College,MA
Communication,Grand Valley State University,MI
Astronomy,Utah Valley University,UT
Geography,University of Colorado-Boulder,CO
Spanish,University of Texas at San Antonio,TX
Engineering,University of British Columbia - Okanagan,BC
Writing Studies,University of Minnesota-Twin Cities,MN
Computer Science,University of California Santa Barbara,CA
,,
Communication Studies,University of Iowa,IA
Journalism,California State University Chico,CA
Art,Pomona College,CA
Art,William Paterson University,NJ
Engineering,University of California San Diego,CA
Special Education,University of Alabama,AL
Foreign Languages,University of Alabama at Birmingham,AL
Human Services,Bowling Green State University,OH
Writing,Bowling Green State University,OH
,,
,,
,,
,,
Marketing,San Francisco State University,CA
Chemistry,University of Tennessee - Knoxville,TN
Business,University of St. Thomas,MN
,,
History,Amarillo College,TX
,,
,,
Theater,University of Florida,FL
Languages,Salve Regina University,RI
Education,Florida International University,FL
Psychology,University of St. Andrews,FIFE
,,
Political Science,University of North Carolina at Chapel Hill,NC
Social Work,Rhode Island College,RI
Nursing,Lakeland Community College,OH
Philosophy,Marist College,NY
Finance,University of Phoenix Online,AZ
Law,"HACC, Central Pennsylvania's Community College",PA
Physics,Towson University,MD
English,Santa Fe College,FL
Engineering  Technology,University of Akron,OH
Philosophy  Religious Studies,Towson University,MD
Romance Languages,University of Georgia,GA
Nursing,George Brown College,ON
Biology,University of Guelph,ON
,,
Health Policy  Management,York University (all campuses),ON
Biology,University of Kentucky,KY
Music,Indiana State University,IN
Communication,University at Buffalo (SUNY Buffalo),NY
Criminal Justice,El Paso Community College,TX
English,San Antonio College,TX
Philosophy,University of Connecticut,CT
,,
,,
Fine Arts,Michigan State University,MI
Chemistry,Grand Valley State University,MI
,,
,,
Mathematics,Hudson County Community College,NJ
Psychology,Oakland University,MI
,,
Sociology,Texas Christian University,TX
,,
Biology,Arkansas Tech University,AR
,,
Communication,University of Wisconsin - Milwaukee,WI
English,University of Miami,FL
Visual Communication,Austin Community College,TX
Special Education,Illinois State University,IL
Education,University of South Carolina,SC
Philosophy,Boston University,MA
Computer Science,"HACC, Central Pennsylvania's Community College",PA
Illustration,Sheridan College - Oakville,ON
Physical Education,Central Michigan University,MI
,,
Graphic Arts,Camden County College,NJ
Philosophy,University of Central Missouri,MO
Speech  Hearing Sciences,Miami University,OH
,,
,,
Communication,Bradley University,IL
Political Science,University of Texas at San Antonio,TX
Classics,University of Tampa,FL
Mathematics,Central Michigan University,MI
Visual Communication,Austin Community College,TX
Anthropology,Coastline Community College - Garden Grove,CA
,,
,,
,,
,,
,,
Literature,Moberly Area Community College,MO
Comparative Literature,University of Georgia,GA
Music,Middle Tennessee State University,TN
Communication,St. Petersburg College (all campuses),FL
English  Liberal Studies,Seneca College of Applied Arts and Technology-ALL,ON
Business,Brigham Young University,UT
Science,University of Ottawa,ON
Risk Management  Insurance,CUNY Queens College,NY
,,
Writing,Bowling Green State University: Firelands College,OH
,,
Journalism,Black Hawk College,IL
Criminal Justice,County College of Morris,NJ
,,
Religious Studies,Gardner-Webb University,NC
Art Education,The Ohio State University,OH
Social Science,Erie Community College: South Campus,NY
Communication,Utah Valley University,UT
History,Northwest Vista College,TX
,,
Psychology,Elon University,NC
Architecture,Morgan State University,MD
Architecture,University of British Columbia,BC
Sociology,University of Texas at San Antonio,TX
English,Austin Peay State University,TN
Education,Texas Tech University,TX
Physics,Northern Kentucky University,KY
Spanish,Rutgers - State University of New Jersey,NJ
Health  Physical Education,Texas A&M University at College Station,TX
Business,Manhattanville College,NY
Chemistry,Abraham Baldwin Agricultural College,GA
Computer Science,Montgomery College - Germantown Campus,MD
Business,Jefferson State Community College,AL
,,
English,Saginaw Valley State University,MI
Mechanical Engineering,Missouri University of Science and Technology,MO
Biology,San Diego Mesa College,CA
,,
Biology,Morehead State University,KY
Agriculture,Towson University,MD
Communication,College of Western Idaho - Nampa,ID
Music,Brigham Young University-Idaho,ID
Chemistry,San Diego Mesa College,CA
English,University of Virginia,VA
Biology,West Hills Community College,CA
Natural Resources,University of Wisconsin - Stevens Point,WI
Natural Resources,University of Wisconsin - Stevens Point,WI
Mathematics,College of the North Atlantic,NL
Biology,Miami Dade College (all),FL
,,
Mathematics,Albright College,PA
Communication,University of Texas at Arlington,TX
Communication,Reedley College,CA
Biology,Dixie State University,UT
English,University of California Berkeley Extension,CA
English,College of Coastal Georgia,GA
Business Administration,College of William and Mary,VA
,,
Science,Texas A&M University at College Station,TX
Psychology,University of Maine,ME
Culinary Arts,St. Philip's College,TX
Accounting,SUNY Adirondack,NY
Psychology,College of Coastal Georgia,GA
Wildlife,West Virginia University,WV
Exercise  Sport Science,University of North Carolina at Chapel Hill,NC
Chemistry,Delta College,MI
Early Childhood Education,Pellissippi State Community College,TN
,,
Chemistry,University of Alabama,AL
Environmental Studies,University of North Carolina Wilmington,NC
Teaching  Learning,University of Miami,FL
Reading,Rio Hondo College,CA
Business,Brenau University,GA
Education,Illinois State University,IL
English,San Diego Mesa College,CA
English,Front Range Community College- Larimer Campus,CO
Business,Royal Roads University,BC
Sign Language,Madonna University,MI
Business,Valencia College - East and West Campus,FL
Italian,University of Michigan,MI
ElecCompEnergy Engineering,University of Colorado-Boulder,CO
Automotive Technology,Butte College,CA
Computer Science,San Jose State University,CA
Agriculture,Louisiana State University,LA
Statistics,Pennsylvania State University,PA
English,University of South Alabama,AL
Psychology,Roger Williams University,RI
Psychology,McGill University,QC
Psychology,University of Nevada- Reno,NV
,,
Business,New Mexico State University,NM
Geography,San Diego State University,CA
Psychology,University at Buffalo (SUNY Buffalo),NY
Information Technology,University of Tampa,FL
Business,University of Calgary,AB
Chemistry,Pasadena City College,CA
"Television, Film, & Media Studies",St. John's University,NY
Religion,Brigham Young University-Idaho,ID
,,
Theater,Arcadia University,PA
Mathematics Education,Morton College,IL
,,
History,Essex County College,NJ
Music,Columbia College Chicago,IL
Mathematics,University of British Columbia,BC
English,Colorado State University,CO
English,University of Louisville,KY
Art,University of Tampa,FL
Public Health,George Washington University,DC
Public Relations,Auburn University,AL
Advisor,Marist College,NY
Marketing,George Brown College,ON
Anthropology,Rutgers - State University of New Jersey,NJ
History,Middle Tennessee State University,TN
,,
Japanese,Pennsylvania State University,PA
Humanities,Woodland Community College,CA
Humanities,Embry-Riddle Aeronautical University,FL
Music,University of Nevada Las Vegas,NV
Mathematics,Baltimore City Community College,MD
English,Ross Medical Education Center (all campuses),MI
English,Metropolitan Community College-Longview,MO
Computer Science,Metropolitan Community College-Longview,MO
Mathematics,Eastern Michigan University,MI
Philosophy,Baltimore City Community College,MD
Mathematics,Iowa State University,IA
,,
,,
Mechanical Engineering,Iowa State University,IA
Languages,Lincoln Land Community College,IL
Chemistry,University of Arizona,AZ
Nursing,Milwaukee Area Technical College,WI
,,
Government,Texas Southmost College,TX
,,
Chemistry,Georgia Gwinnett College,GA
Education,Dixie State University,UT
Biology,Pima Community College,AZ
,,
,,
Journalism,Arizona State University,AZ
Animal Science,University of Minnesota-Twin Cities,MN
Health Science,Brigham Young University-Idaho,ID
Mathematics,Sierra College,CA
Education,University of Arkansas,AR
Criminal Justice,Villanova University,PA
English,Iowa State University,IA
Mathematics,Clarion University of Pennsylvania,PA
,,
Mass Communication,Winona State University,MN
Nursing,York University (all campuses),ON
Communication,Weber State University,UT
Sign Language,Dixie State University,UT
Information Systems,Brigham Young University,UT
Education,CUNY Queens College,NY
Communication,Weber State University,UT
Biology,Houston Baptist University,TX
Chemistry,University of North Carolina at Chapel Hill,NC
,,
Education,Dixie State University,UT
English,Bronx Community College,NY
Biology,Fashion Institute of Technology,NY
Academic Skills Development,Southern Alberta Institute of Technology,AB
Animal Science,Colorado State University,CO
,,
,,
History,California State University Long Beach,CA
English,Madera Center,CA
Management,George Brown College,ON
Political Science,Georgia Highlands College,GA
Art,Illinois State University,IL
Mathematics,Stony Brook University (SUNY),NY
Communication,Montgomery College: Rockville Campus,MD
Art,Houston Community College (all campuses),TX
Computer Science,Western Technical College,WI
Music,Middle Tennessee State University,TN
Atmospheric  Oceanic Sciences,University of Colorado-Boulder,CO
Marketing,Conestoga College,ON
Psychology,Purdue University - West Lafayette,IN
Electrical Engineering,Lawrence Technological University,MI
Languages,St. John's University,NY
,,
,,
Communication Disorders,SUNY New Paltz,NY
Mathematics,Northampton Community College - Monroe,PA
,,
Psychology,Austin Peay State University,TN
,,
Physics,Louisiana State University,LA
Aviation,Utah Valley University,UT
Agriculture,New Mexico State University,NM
,,
Counseling,Cerritos College,CA
Computer Science,Georgia Military College,GA
Mechanical Engineering,University of California Irvine,CA
Computer Science,Wesleyan University,CT
,,
Marketing,University of Guelph,ON
Economics,Loyola Marymount University,CA
Biology,California Lutheran University,CA
,,
Art  Art History,University of California Davis,CA
,,
Music,Coastal Bend College,TX
Languages,University of Nevada Las Vegas,NV
Geography,Cerritos College,CA
Computer Information Technology,Lone Star College (all),TX
Computer Skills,Dixie State University,UT
English,Carnegie Mellon University,PA
Communication,Idaho State University,ID
Communication,Grand Canyon University,AZ
Mathematics,University of Arizona,AZ
Art,University of Illinois at Chicago,IL
Computer Science,Dixie State University,UT
Social Science,Tacoma Community College,WA
Anthropology,University of Toledo,OH
,,
Music,Austin Community College,TX
Anthropology,University of Florida,FL
,,
Economics,Towson University,MD
,,
,,
,,
English,George Mason University,VA
History,Florence-Darlington Technical College,SC
,,
Literature,University of San Francisco,CA
Human Development,University of North Carolina at Greensboro,NC
Engineering,College of the North Atlantic,NL
,,
,,
Mathematics,Framingham State University,MA
Management,University of Pittsburgh at Greensburg,PA
,,
,,
Biology,Sinclair Community College,OH
Education,Oklahoma State University,OK
Music,Austin Community College,TX
,,
,,
,,
,,
Economics,University of Wisconsin - Stevens Point,WI
Music,Austin Community College,TX
,,
Accounting,University of North Carolina Wilmington,NC
Mathematics,Prince George's Community College,MD
,,
,,
Computer Science,Johnson County Community College,KS
Education,University of South Carolina Salkehatchie,SC
Mathematics,Suffolk County Community College,NY
,,
Communication,University of South Carolina Salkehatchie,SC
Journalism,University of Wisconsin - Whitewater,WI
,,
Electrical Engineering,"California State University, Sacramento",CA
Education,California State University San Bernardino,CA
Computer Science,Johnson County Community College,KS
English,Brigham Young University,UT
Mathematics,New York City College of Technology,NY
Languages,St. Olaf College,MN
Engineering,Case Western Reserve University,OH
English,Skyline College,CA
Mathematics,Florida International University,FL
Speech,Skyline College,CA
,,
Voice,Berklee College of Music,MA
Biology,Southern Connecticut State University,CT
,,
Public Policy,University of Michigan,MI
Geography,Harford Community College,MD
Kinesiology,University of Louisiana at Lafayette,LA
,,
English,Armstrong State University,GA
Statistics,Lansing Community College,MI
History,University of Arkansas,AR
English,University of Nevada- Reno,NV
Engineering,West Virginia University,WV
,,
Business Management,Seneca College of Applied Arts and Technology-ALL,ON
Criminal Justice,Florida Atlantic University,FL
English,University of Northwestern – St. Paul,MN
Nutrition Foods  Wellness,Dixie State University,UT
Theater,Northern Illinois University,IL
Business,Valdosta State University,GA
Social Science,Centennial College,ON
Government,Tarrant County College (all),TX
Anthropology,SUNY New Paltz,NY
,,
Fine Arts,Brandeis University,MA
,,
Computer Science,Northern Virginia Community College (all campuses),VA
Kinesiology,Lone Star College (all),TX
Anthropology,Emory University,GA
Biochemistry,Memorial University of Newfoundland,NL
Economics,University of Washington,WA
Biology,Calhoun Community College (all campuses),AL
Social Science,NYU Tandon School of Engineering,NY
Law,George Mason University School of Law,VA
Economics,J. Sargeant Reynolds Community College,VA
Geology,Missouri Southern State University,MO
Law,George Mason University School of Law,VA
Computer Science,George Brown College,ON
Modern Languages,Duquesne University,PA
English,Denison University,OH
Child  Adolescent Studies,Brooklyn College,NY
Painting,Virginia Commonwealth University,VA
Public Health,University of Texas Health Science Center,TX
Economics,Southeast Missouri State University,MO
Business,Jones International University,CO
Biology,Loyola University Maryland,MD
Agriculture,Hostos Community College,NY
,,
Biology,St. Francis College,NY
,,
English,Miami Dade College (all),FL
Mathematics,Flathead Valley Community College,MT
Management,University of St. Thomas,MN
,,
,,
,,
Art,Palm Beach State College (all campuses),FL
Biology,Golden West College,CA
,,
,,
Physics,Belmont University,TN
Business,Hostos Community College,NY
,,
Mathematics,Humber College,ON
,,
Languages,Oberlin College,OH
,,
Mathematics,Colorado Mesa University,CO
Languages,Northern Illinois University,IL
Biology,Grand Valley State University,MI
Mathematics,Pueblo Community College,CO
Science,Daytona State College,FL
,,
History,University of Texas at Austin,TX
English,"HACC, Central Pennsylvania's Community College",PA
English,University of Nebraska-Lincoln,NE
Anthropology,University of Texas at Austin,TX
Anthropology,Midlands Technical College,SC
Accounting,SUNY Old Westbury,NY
Spanish,Cosumnes River College,CA
,,
Writing,University of Southern California,CA
Social Work,Sheridan College - Oakville,ON
Physics,Evergreen State College,WA
,,
Literature,Florida State University,FL
Nursing,Lehman College,NY
,,
Fashion Merchandising,Fashion Institute of Technology,NY
Theater,University of Guelph,ON
Social Work,Silberman School of Social Work,NY
Literature,Montana Tech,MT
Information Systems,Washington State University,WA
Psychology,University of Saskatchewan,SK
Communication,West Texas A&M University,TX
Social Work,Florida Atlantic University,FL
Computer Science,Keiser University,FL
Forestry,University of New Brunswick,NB
Social Work,Silberman School of Social Work,NY
Mathematics,University Of Illinois at Urbana-Champaign,IL
Mathematics,Cosumnes River College,CA
Chemistry,University of Kentucky,KY
Chemistry,Gateway Technical College,WI
English,Rock Valley College,IL
Biology,Butler Community College,KS
Languages,Elizabethtown College,PA
English,Diablo Valley College,CA
Machining Technology,Lone Star College (all),TX
Political Science,Walsh University,OH
Criminology,Missouri State University,MO
,,
Psychology,Augustana College,IL
Physics,California State University Fullerton,CA
Sociology,Gateway Technical College,WI
Information Science,Cornell University,NY
Criminal Justice,George Mason University,VA
Mathematics,Antelope Valley College,CA
,,
Physics,University of Saskatchewan,SK
Languages,Northern Arizona University,AZ
,,
English,Northern Arizona University,AZ
Business,George Brown College,ON
Education,Salisbury University,MD
Business,Gateway Technical College,WI
Business Law,Gateway Technical College,WI
Theater,University of West Florida,FL
Mathematics,Madison Area Technical College,WI
,,
Communication,Central Arizona College,AZ
,,
Physical Education,Dixie State University,UT
,,
Graphic Arts,Stephen F. Austin State University,TX
Physical Education,Dixie State University,UT
Criminal Justice,Northwest Vista College,TX
Mathematics,University of Vermont,VT
Media Communications,University of the Fraser Valley,BC
Psychology,"University of Maryland, Baltimore County",MD
Philosophy,Dixie State University,UT
Communication,Cloud County Community College,KS
Health Science,University of Ottawa,ON
Information Technology,University of Phoenix Online,AZ
,,
Social Work,University of Southern Indiana,IN
Criminal Justice,Black Hawk College,IL
,,
,,
Mathematics,University of Michigan,MI
Mathematics,Central Michigan University,MI
Spanish,Southern Connecticut State University,CT
Computer Science,Indiana University-Purdue University Fort Wayne,IN
Theater,College of Charleston,SC
Literature,Indiana University Bloomington,IN
,,
,,
Psychology,University of Regina,SK
Accounting,Suffolk University,MA
Mathematics,Metropolitan Community College-Longview,MO
,,
,,
Mathematics,Mountain View College,TX
Biology,Appalachian State University,NC
English,Long Beach City College,CA
,,
,,
,,
,,
,,
,,
Law,DePaul College of Law,IL
Psychology,Universite de Montreal,QC
Mathematics,San Diego City College,CA
International Studies,University of Wyoming,WY
Social Science,Auburn University at Montgomery,AL
Mathematics,Lone Star College (all),TX
Health Science,California State University San Bernardino,CA
,,
,,
Bioengineering,University of Washington,WA
,,
Psychology,Universite de Montreal,QC
Criminal Justice,University of Massachusetts,MA
,,
,,
Criminal Justice,Arizona Western College,AZ
Psychology,Universite de Montreal,QC
Nursing,University of Central Oklahoma,OK
Computer Science,Texas Wesleyan University,TX
Music,Brigham Young University - Hawaii,HI
,,
Women's Studies,San Francisco State University,CA
Philosophy,University of Calgary,AB
,,
Anthropology,University of Houston-Clear Lake,TX
Chemistry,Northern Virginia Community College (all campuses),VA
Advertising,School of Visual Arts,NY
Art History,University of Kansas,KS
Advertising,School of Visual Arts,NY
,,
Economics,University of California Santa Cruz,CA
Biology,Schenectady County Community College,NY
Education,University of Alabama,AL
Education,University of Alabama,AL
Management,Vancouver Island University,BC
Arts  Sciences,Bowling Green State University,OH
Education,University of Alabama,AL
Mathematics,Bowling Green State University,OH
Art,Florida Atlantic University,FL
Physics,University of Tampa,FL
Mathematics,University of St. Andrews,FIFE
Physics,Tri-County Technical College,SC
Mathematics,Georgia State University Perimeter College - Alpharetta,GA
,,
Political Science,State College of Florida Manatee-Sarasota,FL
Kinesiology,University of Wisconsin - Eau Claire,WI
Graphic Arts,Waukesha County Technical College,WI
Mathematics,Santa Fe College,FL
,,
Computer Science,St. Petersburg College (all campuses),FL
Psychology,University of Massachusetts - Boston,MA
